,Ville,Nombre de requetes mensuelles totales,Nombre etablissement booking,Score,Latitude,Longitude,geometry
80,olhos de água,500.0,76,6.578947368421052,37.0950142,-8.186269376567383,POINT (-8.186269376567383 37.0950142)
81,olhão,5500.0,35,157.14285714285714,37.0270369,-7.8411287,POINT (-7.8411287 37.0270369)
82,ovar,5050.0,17,297.05882352941177,40.8594819,-8.6252174,POINT (-8.6252174 40.8594819)
83,pataias,50.0,27,1.851851851851852,39.6707242,-8.9929023,POINT (-8.9929023 39.6707242)
84,pedra do ouro,50.0,2,25.0,43.2797795,-8.4588496,POINT (-8.4588496 43.2797795)
85,peniche,10500.0,49,214.28571428571428,39.3566221,-9.3812853,POINT (-9.3812853 39.3566221)
86,perafita,500.0,6,83.33333333333333,41.221543,-8.693316,POINT (2.107122 42.0423757)
87,portimão,5500.0,144,38.19444444444444,37.1375808,-8.5368426,POINT (-8.5368426 37.1375808)
88,portinho da arrábida,50.0,1,50.0,38.4753549,-8.9843598,POINT (-8.9843598 38.4753549)
89,punta del moral,5000.0,4,1250.0,37.1877587,-7.3444664,POINT (-7.3444664 37.1877587)
90,punta umbría,5000.0,20,250.0,37.1830237,-6.9662203,POINT (-6.9662203 37.1830237)
91,póvoa de varzim,550.0,32,17.1875,41.3794188,-8.7598689,POINT (-8.7598689 41.3794188)
92,quarteira,5500.0,53,103.77358490566036,37.0712719,-8.1022591,POINT (-8.1022591 37.0712719)
93,quiaios,5000.0,1,5000.0,40.2150976,-8.8500062,POINT (-8.8500062 40.2150976)
94,rogil,500.0,3,166.66666666666666,37.3693701,-8.8005564,POINT (-8.8005564 37.3693701)
95,rota,5100.0,21,242.8571428571429,36.6228636,-6.3599595,POINT (-6.3599595 36.6228636)
96,sagres,55050.0,34,1619.1176470588234,37.0076,-8.94559,POINT (-50.9574608 -21.8840628)
97,salema,500.0,3,166.66666666666666,37.065794,-8.824973,POINT (91.83212213728835 24.0290939)
98,sanlúcar de barrameda,5000.0,104,48.07692307692308,36.7761393,-6.3534794,POINT (-6.3534794 36.7761393)
99,santa luzia,5050.0,13,388.46153846153845,37.125809,-7.64984,POINT (-60.975036 13.8250489)
100,santo antónio,5000.0,10,500.0,37.195091,-7.41458,POINT (113.5419828 22.2009189)
101,santo isidoro,50.0,1,50.0,37.7617375,-8.6917148,POINT (-8.6917148 37.7617375)
102,seixas,50.0,2,25.0,43.5305655,-7.8801613,POINT (-7.8801613 43.5305655)
103,sesimbra,50500.0,25,2020.0,38.4436932,-9.0996273,POINT (-9.0996273 38.4436932)
104,setúbal,5500.0,73,75.34246575342466,38.5241783,-8.8932341,POINT (-8.8932341 38.5241783)
105,silveira,500.0,6,83.33333333333333,39.1113987,-9.3632536,POINT (-9.3632536 39.1113987)
